# mar 15 mar 2016, 22.43.49, CET                              
# Input files for the model atmosphere: 
# PT profile: IG_april+45_ngt_PT.DAT
# Composition: IG_april+45_ngt.DAT
#
# Alt(km); X = log(1000/P(hPa)); AM = mean mol.    mass; gases (abundance fraction)
#
#   Alt     X        T          O         O2         N2        CO2         O3    AM
#
  90.8 13.25  187.964 0.3058E-02 0.2010E+00 0.7858E+00 0.2876E-03 0.0000E+00 28.90
  92.2 13.50  188.669 0.4988E-02 0.1989E+00 0.7855E+00 0.2788E-03 0.0000E+00 28.87
  93.7 13.75  189.875 0.7660E-02 0.1965E+00 0.7849E+00 0.2694E-03 0.0000E+00 28.82
  95.1 14.00  191.560 0.1114E-01 0.1936E+00 0.7839E+00 0.2591E-03 0.0000E+00 28.76
  96.6 14.25  193.584 0.1556E-01 0.1901E+00 0.7825E+00 0.2479E-03 0.0000E+00 28.69
  98.1 14.50  195.922 0.2081E-01 0.1863E+00 0.7809E+00 0.2351E-03 0.0000E+00 28.61
  99.6 14.75  198.341 0.2702E-01 0.1818E+00 0.7791E+00 0.2212E-03 0.0000E+00 28.52
 101.1 15.00  200.900 0.3402E-01 0.1769E+00 0.7771E+00 0.2053E-03 0.0000E+00 28.40
 102.7 15.25  203.542 0.4186E-01 0.1714E+00 0.7751E+00 0.1886E-03 0.0000E+00 28.25
 104.3 15.50  206.619 0.5044E-01 0.1655E+00 0.7729E+00 0.1711E-03 0.0000E+00 28.08
 105.9 15.75  210.381 0.5978E-01 0.1592E+00 0.7705E+00 0.1543E-03 0.0000E+00 27.89
 107.6 16.00  215.326 0.6995E-01 0.1523E+00 0.7678E+00 0.1379E-03 0.0000E+00 27.69
 109.3 16.25  221.930 0.8092E-01 0.1450E+00 0.7647E+00 0.1232E-03 0.0000E+00 27.48
 111.1 16.50  231.101 0.9280E-01 0.1374E+00 0.7611E+00 0.1104E-03 0.0000E+00 27.27
 113.0 16.75  243.899 0.1057E+00 0.1294E+00 0.7567E+00 0.9768E-04 0.0000E+00 27.06
 115.1 17.00  261.091 0.1198E+00 0.1211E+00 0.7514E+00 0.8808E-04 0.0000E+00 26.83
 117.3 17.25  284.260 0.1352E+00 0.1125E+00 0.7449E+00 0.7773E-04 0.0000E+00 26.55
 119.7 17.50  314.656 0.1519E+00 0.1038E+00 0.7374E+00 0.6924E-04 0.0000E+00 26.20
